Variance of Wavelet Transformed image,Skewness of Wavelet Transformed image,Kurtosis of Wavelet Transformed image,Entropy of image,Label
-3.5681,-8.213,10.083,0.96765,1.0
-1.7781,0.8546,7.1303,0.027572,0.0
-0.36025,-4.449,2.1067,0.94308,1.0
0.59823,3.5012,-3.9795,-1.7841,1.0
-4.1409,3.4619,-0.47841,-3.8879,1.0
-3.5916,-6.2285,10.2389,-1.1543,1.0
0.3798,0.7098,0.7572,-0.4444,0.0
4.4072,-0.070365,2.0416,1.1319,0.0
-1.5078,-7.3191,7.8981,1.2289,1.0
-0.278,8.1881,-3.1338,-2.5276,0.0
-4.2859,8.5234,3.1392,-0.91639,0.0
2.0421,1.2436,4.2171,0.90429,0.0
-2.5665,-6.8824,7.5416,0.70774,1.0
5.438,9.4669,-4.9417,-3.9202,0.0
-2.564,-1.7051,1.5026,0.32757,1.0
0.64295,7.1018,0.3493,-0.41337,0.0
-3.5359,0.30417,0.6569,-0.2957,1.0
-0.55355,-7.9233,6.7156,0.74394,1.0
-1.9966,-9.5001,9.682,-0.12889,1.0
1.5799,-4.7076,7.9186,-1.5487,0.0
1.9818,9.2621,-3.521,-1.872,0.0
1.7747,-6.4334,8.15,-0.89828,0.0
-2.7769,-5.6967,5.9179,0.37671,1.0
1.8238,-6.7748,8.3873,-0.54139,0.0
3.5912,3.0129,0.72888,0.56421,0.0
2.5581,2.6218,1.8513,0.40257,0.0
4.3846,-4.8794,3.3662,-0.029324,0.0
-2.0662,0.16967,-1.0054,-0.82975,1.0
-0.28696,3.1784,-3.5767,-3.1896,1.0
-2.5912,-0.10554,1.2798,1.0414,1.0
0.27451,9.2186,-3.2863,-4.8448,0.0
0.96414,5.616,2.2138,-0.12501,0.0
-1.4233,-0.98912,2.3586,0.39481,1.0
0.2346,-4.5152,2.1195,1.4448,1.0
5.0297,-4.9704,3.5025,-0.23751,0.0
4.0215,-2.7004,2.4957,0.36636,0.0
2.805,0.57732,1.3424,1.2133,0.0
4.6054,-4.0765,2.7587,0.31981,0.0
0.51947,-3.2633,3.0895,-0.98492,0.0
3.8846,-3.0336,2.5334,0.20214,0.0
-2.8391,-6.63,10.4849,-0.42113,1.0
-1.9116,-6.1603,5.606,0.48533,1.0
-2.4115,-9.1359,9.3444,-0.65259,1.0
0.25035,9.3262,-3.6873,-6.2543,0.0
1.645,7.8612,-0.87598,-3.5569,0.0
2.4012,1.6223,3.0312,0.71679,0.0
5.0214,8.0764,-3.0515,-1.7155,0.0
1.7875,4.78,-5.1362,-3.2362,1.0
-0.036127,1.525,-1.4089,-0.76121,1.0
-3.3125,0.10139,0.55323,-0.2957,1.0
0.75896,0.29176,-1.6506,0.83834,1.0
0.5706,-0.0248,1.2421,-0.5621,0.0
3.4626,-4.449,3.5427,0.15429,0.0
-1.6637,3.2881,-2.2701,-2.2224,1.0
4.0552,-2.4583,2.2806,1.0323,0.0
4.2756,-2.6528,2.1375,0.94437,0.0
-0.21394,-0.68287,0.096532,1.1965,1.0
1.4806,7.6377,-2.7876,-1.0341,0.0
-0.9607,2.6963,-3.1226,-1.3121,1.0
3.4359,0.66216,2.1041,1.8922,0.0
-3.4917,-12.1736,14.3689,-0.61639,1.0
0.23874,2.0879,-3.3522,-0.66553,1.0
0.80355,2.8473,4.3439,0.6017,0.0
-3.7573,-8.2916,10.3032,0.38059,1.0
-2.4835,-7.4494,6.8964,-0.64484,1.0
-1.4427,3.2922,-1.9702,-3.4392,1.0
4.3365,-3.584,3.6884,0.74912,0.0
0.50813,0.47799,-1.9804,0.57714,1.0
1.164,3.913,-4.5544,-3.8672,1.0
-2.5919,-1.0553,3.8949,0.77757,1.0
-2.2083,-9.1069,8.9991,-0.28406,1.0
5.2756,0.13863,0.12138,1.1435,0.0
-0.36372,3.0439,-3.4816,-2.7836,1.0
0.24261,0.57318,-1.9402,0.44007,1.0
-5.4808,8.1819,0.27818,-5.0323,1.0
4.8368,10.0132,-4.3239,-4.3276,0.0
-0.47465,-4.3496,1.9901,0.7517,1.0
0.6818,4.8504,-5.2133,-6.1043,1.0
-1.6952,1.0657,8.8294,0.94955,0.0
0.3223,-0.89808,8.0883,0.69222,0.0
-1.4106,-7.108,5.6454,0.31335,1.0
-1.4454,-8.4385,8.8483,0.96894,1.0
-1.5951,-6.572,4.7689,-0.94354,1.0
-2.9883,0.31245,0.45041,0.068951,1.0
2.3925,9.798,-3.0361,-2.8224,0.0
-0.28015,3.0729,-3.3857,-2.9155,1.0
2.5559,3.3605,2.0321,0.26809,0.0
1.2262,0.89599,5.7568,-0.11596,0.0
0.4283,-0.94981,-1.0731,0.3211,1.0
4.2406,-2.4852,1.608,0.7155,0.0
-1.7599,11.9211,2.6756,-3.3241,0.0
-0.93587,-5.1008,4.5367,1.3866,1.0
3.3397,-4.6145,3.9823,-0.23751,0.0
-4.4996,3.4288,0.56265,-1.1672,1.0
-2.3142,2.0838,-0.46813,-1.6767,1.0
0.74054,0.36625,2.1992,0.48403,0.0
-0.69879,-3.3771,4.1211,1.5043,1.0
-4.1479,7.1225,-0.083404,-6.4172,1.0
-5.0676,-5.1877,10.4266,-0.86725,1.0
0.49571,10.2243,-1.097,-4.0159,0.0
-2.659,-1.6058,1.3647,0.16464,1.0
-3.1875,-7.5756,11.8678,-0.57889,1.0
-1.7976,-6.7686,6.6753,0.89912,1.0
4.9923,7.8653,-2.3515,-0.71984,0.0
-6.2003,8.6806,0.0091344,-3.703,1.0
3.4985,3.1639,0.22677,-0.1651,0.0
-1.979,3.2301,-1.3575,-2.5819,1.0
-1.5851,-2.1562,1.7082,0.9017,1.0
2.8084,11.3045,-3.3394,-4.4194,0.0
1.2999,2.5762,2.0107,-0.18967,0.0
0.5706,-0.024841,1.2421,-0.56208,0.0
-1.0116,-0.19038,-0.90597,0.003003,1.0
0.20216,1.9182,-3.2828,-0.61768,1.0
-0.61442,-0.091058,-0.31818,0.50214,1.0
-1.7886,-6.3486,5.6154,0.42584,1.0
0.14329,-1.0885,1.0039,0.48791,1.0
1.7331,3.9544,-4.7412,-2.5017,1.0
-2.4725,-0.40145,1.4855,1.1189,1.0
4.4549,2.4976,1.0313,0.96894,0.0
-1.9423,0.3766,-1.2898,-0.82458,1.0
3.8905,-2.1521,2.6302,1.1047,0.0
2.0165,-0.25246,5.1707,1.0763,0.0
-0.7869,9.5663,-3.7867,-7.5034,0.0
0.89512,4.7738,-4.8431,-5.5909,1.0
-3.3884,-8.215,10.3315,0.98187,1.0
2.108,6.7955,-0.1708,0.4905,0.0
0.38251,6.8121,1.8128,-0.61251,0.0
1.0135,8.4551,-1.672,-2.0815,0.0
2.8561,6.9176,-0.79372,0.48403,0.0
0.72252,-0.053811,5.6703,-1.3509,0.0
2.4008,9.3593,-3.3565,-3.3526,0.0
-1.4572,9.1214,1.7425,-5.1241,0.0
-1.5222,10.8409,2.7827,-4.0974,0.0
1.5904,2.2121,-3.1183,-0.11725,1.0
4.4295,-2.3507,1.7048,0.90946,0.0
5.6272,10.0857,-4.2931,-3.8142,0.0
-3.9204,4.0723,-0.23678,-2.1151,1.0
-4.4018,-12.9371,15.6559,-1.6806,1.0
0.87256,9.2931,-0.7843,-2.1978,0.0
-2.7143,11.4535,2.1092,-3.9629,0.0
-3.6817,3.2239,-0.69347,-3.4004,1.0
0.88992,2.2638,-3.1046,-0.11855,1.0
1.3049,-0.15521,6.4911,-0.75346,0.0
4.2134,-2.806,2.0116,0.67412,0.0
1.0284,9.767,-1.3687,-1.7853,0.0
1.0652,8.3682,-1.4004,-1.6509,0.0
-0.17296,-1.1816,1.3818,0.7336,1.0
-2.0529,3.8385,-0.79544,-1.2138,1.0
-1.4217,11.6542,-0.057699,-7.1025,0.0
-1.5322,-5.0966,6.6779,0.17498,1.0
-0.50816,2.868,-1.8108,-2.2612,1.0
2.6718,5.6574,0.72974,-1.4892,0.0
3.2403,-3.7082,5.2804,0.41291,0.0
-3.8894,-7.8322,9.8208,0.47498,1.0
-0.91318,-2.0113,-0.19565,0.066365,1.0
4.7181,10.0153,-3.9486,-3.8582,0.0
2.6799,3.1349,0.34073,0.58489,0.0
2.3678,-6.839,8.4207,-0.44829,0.0
3.0242,-3.3378,2.5865,-0.54785,0.0
2.4673,1.3926,1.7125,0.41421,0.0
-2.2482,3.0915,-2.3969,-2.6711,1.0
4.2899,9.1814,-4.6067,-4.3263,0.0
-1.8584,7.886,-1.6643,-1.8384,0.0
-0.21661,8.0329,1.8848,-3.8853,0.0
-0.69745,-1.7672,-0.34474,-0.12372,1.0
1.2746,8.8172,-1.5323,-1.7957,0.0
3.6216,8.6661,-2.8073,-0.44699,0.0
1.8114,7.6067,-0.9788,-2.4668,0.0
1.2247,8.7779,-2.2135,-0.80647,0.0
3.2718,1.7837,2.1161,0.61334,0.0
-1.8629,-0.84841,2.5377,0.097399,1.0
-1.7015,-0.010356,-0.99337,-0.53104,1.0
3.0009,5.8126,-2.2306,-0.66553,0.0
3.5358,6.7086,-0.81857,0.47886,0.0
0.47368,3.3605,-4.5064,-4.0431,1.0
-5.4414,7.2363,0.10938,-7.5642,1.0
2.6881,6.0195,-0.46641,-0.69268,0.0
-3.551,1.8955,0.1865,-2.4409,1.0
4.2188,6.8162,-1.2804,0.76076,0.0
1.0235,6.901,-2.0062,-2.7125,0.0
0.89606,10.5471,-1.4175,-4.0327,0.0
-4.5531,-12.5854,15.4417,-1.4983,1.0
0.84546,3.4826,-3.6307,-1.3961,1.0
1.6349,3.286,2.8753,0.087054,0.0
5.681,7.795,-2.6848,-0.92544,0.0
-2.1241,-6.8969,5.5992,-0.47156,1.0
3.5257,1.2829,1.9276,1.7991,0.0
-0.55008,2.8659,-1.6488,-2.4319,1.0
3.2414,0.40971,1.4015,1.1952,0.0
-2.6864,-0.097265,0.61663,0.061192,1.0
1.5456,8.5482,0.4187,-2.1784,0.0
0.4339,5.5395,2.033,-0.40432,0.0
-0.11716,0.60422,-0.38587,-0.059065,1.0
2.1752,-0.8091,5.1022,-0.67975,0.0
-3.0,-9.1566,9.5766,-0.73018,1.0
0.9297,-3.7971,4.6429,-0.2957,0.0
2.8209,7.3108,-0.81857,-1.8784,0.0
-0.82053,0.65181,-0.48869,-0.52716,1.0
-1.8356,-6.7562,5.0585,-0.55044,1.0
1.9358,8.1654,-0.023425,-2.2586,0.0
3.7522,-3.6978,3.9943,1.3051,0.0
-2.3147,3.6668,-0.6969,-1.2474,1.0
-1.0833,-0.31247,1.2815,0.41291,1.0
-5.2406,6.6258,-0.19908,-6.8607,1.0
-2.3898,-0.78427,3.0141,0.76205,1.0
-2.7611,-10.5099,9.0239,-1.9547,1.0
3.9121,2.9735,0.92852,0.60558,0.0
0.21084,9.4359,-0.094543,-1.859,0.0
-2.588,3.8654,-0.3336,-1.2797,1.0
-4.0025,-13.4979,17.6772,-3.3202,1.0
1.941,0.46351,4.6472,1.0879,0.0
0.7057,-5.4981,8.3368,-2.8715,0.0
-0.278,8.1881,-3.1338,-2.5276,0.0
-1.366,0.18416,0.90539,1.5806,1.0
1.3518,1.0595,-2.3437,0.39998,1.0
-2.3675,-0.43663,1.692,-0.43018,1.0
-1.8974,3.5074,-1.7842,-3.8491,1.0
-1.1193,10.7271,2.0938,-5.6504,0.0
-2.343,12.9516,3.3285,-5.9426,0.0
-2.0754,1.2767,-0.64206,-1.2642,1.0
-1.1306,1.8458,-1.3575,-1.3806,1.0
5.504,10.3671,-4.413,-4.0211,0.0
0.025013,3.3998,-4.4327,-4.2655,1.0
2.031,1.852,-3.0121,0.003003,1.0
0.7049,0.17174,-1.7859,0.36119,1.0
3.9414,-3.2902,3.1674,1.0866,0.0
4.3483,11.1079,-4.0857,-4.2539,0.0
-0.95923,0.091039,6.2204,-1.4828,0.0
-4.0679,2.4955,0.79571,-1.1039,1.0
3.5982,7.1307,-1.3035,0.21248,0.0
0.25943,5.0097,-5.0394,-6.3862,1.0
3.6702,2.9942,0.85141,0.30688,0.0
-2.4365,3.6026,-1.4166,-2.8948,1.0
-2.7914,1.7734,6.7756,-0.39915,0.0
4.1736,3.3336,-1.4244,0.60429,0.0
0.86816,10.2429,-1.4912,-4.0082,0.0
-0.10234,1.8189,-2.2169,-0.56725,1.0
3.9232,-3.2467,3.4579,0.83705,0.0
-4.3876,-7.7267,11.9655,-1.4543,1.0
-1.2424,-1.7175,-0.52553,-0.21036,1.0
-1.005,0.084831,-0.2462,0.45688,1.0
4.0715,7.6398,-2.0824,-1.1698,0.0
-3.0799,0.60836,2.7039,-0.23751,1.0
-4.8861,7.0542,-0.17252,-6.959,1.0
-1.3907,-1.3781,2.3055,-0.021566,1.0
3.1557,2.8908,0.59693,0.79825,0.0
3.757,-5.4236,3.8255,-1.2526,0.0
2.6648,10.754,-3.3994,-4.1685,0.0
3.9899,-2.7066,2.3946,0.86291,0.0
-3.5741,3.944,-0.07912,-2.1203,1.0
0.68087,2.3259,4.9085,0.54998,0.0
1.9105,8.871,-2.3386,-0.75604,0.0
2.888,0.44696,4.5907,-0.24398,0.0
-0.77995,3.2322,-3.282,-3.1004,1.0
-0.69572,8.6165,1.8419,-4.3289,0.0
0.11686,3.735,-4.4379,-4.3741,1.0
1.8967,-2.5163,2.8093,-0.79742,0.0
1.5514,3.8013,-4.9143,-3.7483,1.0
-1.9667,11.8052,-0.40472,-7.8719,0.0
2.5698,-4.4076,5.9856,0.078002,0.0
3.9433,2.5017,1.5215,0.903,0.0
-0.70867,-5.5602,4.0483,0.903,1.0
4.7285,2.1065,-0.28305,1.5625,0.0
-1.6706,-2.09,1.584,0.71162,1.0
1.7939,-1.1174,1.5454,-0.26079,0.0
1.5268,-5.5871,8.6564,-1.722,0.0
2.6104,8.0081,-0.23592,-1.7608,0.0
-2.9146,4.0537,-0.45699,-4.0327,1.0
-0.63298,-5.1277,4.5624,1.4797,1.0
-0.41645,0.32487,-0.33617,-0.36036,1.0
-0.77288,-7.4473,6.492,0.36119,1.0
-2.7723,3.2777,-0.9351,-3.1457,1.0
0.64376,3.764,-4.4738,-4.0483,1.0
0.6005,1.9327,-3.2888,-0.32415,1.0
4.988,7.2052,-3.2846,-1.1608,0.0
0.2952,4.8856,-5.149,-6.2323,1.0
3.7635,2.7811,0.66119,0.34179,0.0
-4.6338,-12.7509,16.7166,-3.2168,1.0
-0.12624,10.3216,-3.7121,-6.1185,0.0
3.5829,1.4423,1.0219,1.4008,0.0
-2.0285,3.8468,-0.63435,-1.175,1.0
-0.539,-5.167,3.4399,0.052141,1.0
-1.1022,-5.8395,4.5641,0.68705,1.0
2.0177,1.7982,-2.9581,0.2099,1.0
-0.83535,0.80494,-1.6411,-0.19225,1.0
-4.2887,-7.8633,11.8387,-1.8978,1.0
0.3434,0.12415,-0.28733,0.14654,1.0
-1.5572,-9.8808,8.1088,-1.0806,1.0
-1.7063,2.7956,-2.378,-2.3491,1.0
3.8481,10.1539,-3.8561,-4.2228,0.0
0.89566,7.7763,-2.7473,-1.9353,0.0
0.15423,0.11794,-1.6823,0.59524,1.0
-7.0364,9.2931,0.16594,-4.5396,1.0
-1.4174,-2.2535,1.518,0.61981,1.0
-6.0598,9.2952,-0.43642,-6.3694,1.0
-3.9933,2.6218,0.62863,-1.1595,1.0
-0.12196,8.8068,0.94566,-4.2267,0.0
-3.1366,0.42212,2.6225,-0.064238,1.0
3.8969,7.4163,-1.8245,0.14007,0.0
0.52855,0.96427,4.0243,-1.0483,0.0
1.0009,7.7846,-0.28219,-2.6608,0.0
-0.30432,2.6528,-2.7756,-0.65647,1.0
4.3435,3.3295,0.83598,0.64955,0.0
3.8023,-3.8696,4.044,0.95343,0.0
3.946,6.8514,-1.5443,-0.5582,0.0
-0.3481,-0.38696,-0.47841,0.62627,1.0
2.549,6.1499,-1.1605,-1.2371,0.0
-3.0866,-6.6362,10.5405,-0.89182,1.0
-2.4561,-4.5566,6.4534,-0.056479,1.0
0.75736,3.0294,2.9164,-0.068117,0.0
-0.71868,-5.7154,3.8298,1.0233,1.0
-2.0659,1.0512,-0.46298,-1.0974,1.0
5.1731,3.9606,-1.983,0.40774,0.0
-2.3299,-9.9532,8.4756,-1.8733,1.0
-5.873,9.1752,-0.27448,-6.0422,1.0
2.0962,2.4769,1.9379,-0.040962,0.0
-2.234,-7.0314,7.4936,0.61334,1.0
2.1319,-2.0403,2.5574,-0.061652,0.0
-2.9498,-8.273,10.2646,1.1629,1.0
-2.3983,12.606,2.9464,-5.7888,0.0
-0.49948,1.7734,-2.2469,-0.68104,1.0
5.1776,8.2316,-3.2511,-1.5694,0.0
3.5251,0.7201,1.6928,0.64438,0.0
2.7296,2.8701,0.51124,0.5099,0.0
5.4944,1.5478,0.041694,1.9284,0.0
1.7452,4.8028,2.0878,0.62627,0.0
0.58982,7.4266,1.2353,-2.9595,0.0
3.3756,-4.0951,4.367,1.0698,0.0
2.9499,2.2493,1.3458,-0.037083,0.0
3.0333,-2.5928,2.3183,0.303,0.0
-3.8952,3.8157,-0.31304,-3.8194,1.0
-0.29858,2.4769,-2.9512,-0.66165,1.0
4.8272,3.0687,0.68604,0.80731,0.0
4.4682,2.2907,0.95766,0.83058,0.0
2.5503,-4.9518,6.3729,-0.41596,0.0
5.4188,10.1457,-4.084,-3.6991,0.0
0.48797,3.5674,-4.3882,-3.8116,1.0
0.7376,4.8525,-4.7986,-5.6659,1.0
-0.16735,7.6274,1.2061,-3.6241,0.0
1.6849,8.7489,-1.2641,-1.3858,0.0
1.0194,1.1029,-2.3,0.59395,1.0
3.6277,0.9829,0.68861,0.63403,0.0
-1.6029,-0.38903,1.62,1.9103,1.0
-2.5724,-0.95602,2.7073,-0.16639,1.0
-3.8826,4.898,-0.92311,-5.0801,1.0
0.37984,0.70975,0.75716,-0.44441,0.0
-0.53072,-0.097265,-0.21793,1.0426,1.0
-3.4605,2.6901,0.16165,-1.0224,1.0
-1.3612,10.694,1.7022,-2.9026,0.0
-1.1804,11.5093,0.15565,-6.8194,0.0
-1.3968,-9.6698,9.4652,-0.34872,1.0
0.3798,0.7098,0.7572,-0.4444,0.0
-0.062025,6.1975,1.099,-1.131,0.0
0.38478,6.5989,-0.3336,-0.56466,0.0
-6.5084,8.7696,0.23191,-3.937,1.0
3.2032,5.7588,-0.75345,-0.61251,0.0
3.6575,7.2797,-2.2692,-1.144,0.0
4.1038,-4.8069,3.3491,-0.49225,0.0
-0.16108,-6.4624,8.3573,-1.5216,0.0
-1.7279,-6.841,8.9494,0.68058,1.0
0.0096613,3.5612,-4.407,-4.4103,1.0
3.2692,3.4184,0.20706,-0.066824,0.0
-3.5713,-12.4922,14.8881,-0.47027,1.0
0.32444,10.067,-1.1982,-4.1284,0.0
0.27331,4.8773,-4.9194,-5.8198,1.0
1.8216,-6.4748,8.0514,-0.41855,0.0
-0.89409,3.1991,-1.8219,-2.9452,1.0
-0.49281,3.0605,-1.8356,-2.834,1.0
3.8584,0.78425,1.1033,1.7008,0.0
-2.9138,-9.4711,9.7668,-0.60216,1.0
4.2458,1.1981,0.66633,0.94696,0.0
1.762,4.3682,2.1384,0.75429,0.0
-2.4953,11.1472,1.9353,-3.4638,0.0
4.6352,-3.0087,2.6773,1.212,0.0
-1.9881,0.99945,-0.28562,-0.70044,1.0
3.5594,1.3078,1.291,1.6556,0.0
-0.95403,1.9824,-2.3163,-1.1957,1.0
-0.70346,2.957,-3.5947,-3.1457,1.0
2.0922,-6.81,8.4636,-0.60216,0.0
-1.4904,-2.2183,1.6054,0.89394,1.0
3.4776,8.811,-3.1886,-0.92285,0.0
1.1315,7.9212,1.093,-2.8444,0.0
-1.8348,11.0334,3.1863,-4.8888,0.0
-3.8483,-12.8047,15.6824,-1.281,1.0
-1.0112,2.9984,-1.1664,-1.6185,1.0
1.5631,0.89599,-1.9702,0.65472,1.0
-1.3,10.2678,-2.953,-5.8638,0.0
1.6408,4.2503,-4.9023,-2.6621,1.0
0.066129,2.4914,-2.9401,-0.62156,1.0
-2.5899,-0.3911,0.93452,0.42972,1.0
-2.9786,2.3445,0.52667,-0.40173,1.0
2.7659,0.66216,4.1494,-0.28406,0.0
3.4669,6.87,-1.0568,-0.73147,0.0
3.9364,10.5885,-3.725,-4.3133,0.0
1.5077,1.9596,-3.0584,-0.12243,1.0
-0.26654,-0.64562,-0.42014,0.89136,1.0
-1.1859,-1.2519,2.2635,0.77239,1.0
-2.3221,-9.3304,9.233,-0.79871,1.0
-4.5046,-5.8126,10.8867,-0.52846,1.0
-1.7549,-0.080711,-0.75774,-0.3707,1.0
0.50225,0.65388,-1.1793,0.39998,1.0
-2.0042,-9.3676,9.3333,-0.10303,1.0
4.1197,-2.7956,2.0707,0.67412,0.0
1.8592,3.2074,-0.15966,-0.26208,0.0
3.3577,-4.3062,6.0241,0.18274,0.0
4.2027,0.22761,0.96108,0.97282,0.0
-1.8219,-6.8824,5.4681,0.057313,1.0
0.93584,8.8855,-1.6831,-1.6599,0.0
-2.5346,-0.77392,3.3602,0.00171,1.0
0.52374,3.644,-4.0746,-1.9909,1.0
4.0524,5.6802,-1.9693,0.026279,0.0
-0.45062,-1.3678,7.0858,-0.40303,0.0
-0.8172,3.3812,-3.6684,-3.456,1.0
3.966,3.9213,0.70574,0.33662,0.0
-6.3679,8.0102,0.4247,-3.2207,1.0
-4.577,3.4515,0.66719,-0.94742,1.0
3.4591,11.112,-4.2039,-5.0931,0.0
0.77765,5.9781,1.1941,-0.3526,0.0
2.3729,10.4726,-3.0087,-3.2013,0.0
5.807,5.0097,-2.2384,0.43878,0.0
-4.6765,-5.6636,10.969,-0.33449,1.0
1.0117,0.9022,-2.3506,0.42714,1.0
4.0127,10.1477,-3.9366,-4.0728,0.0
0.74428,-3.7723,1.6131,1.5754,1.0
0.18868,0.70148,-0.51182,0.0055892,1.0
-1.3274,9.498,2.4408,-5.2689,0.0
-4.7331,-6.1789,11.388,-1.0741,1.0
-4.1244,3.7909,-0.6532,-4.1802,1.0
3.245,6.63,-0.63435,0.86937,0.0
0.56953,7.6294,1.5754,-3.2233,0.0
-1.3995,-1.9162,2.5154,0.59912,1.0
-0.16682,5.8974,0.49839,-0.70044,0.0
0.062525,2.9301,-3.5467,-2.6737,1.0
-0.60254,1.7237,-2.1501,-0.77027,1.0
2.0153,1.8479,3.1375,0.42843,0.0
-2.4621,2.7645,-0.62578,-2.8573,1.0
-2.5701,-6.8452,8.9999,2.1353,1.0
5.0185,8.5978,-2.9375,-1.281,0.0
0.26517,2.4066,-2.8416,-0.59958,1.0
-2.0962,-7.1059,6.6188,-0.33708,1.0
-1.8046,-6.8141,6.7019,1.1681,1.0
4.3684,9.6718,-3.9606,-3.1625,0.0
-0.96511,9.4111,1.7305,-4.8629,0.0
-0.39416,-0.020702,-0.066267,-0.44699,1.0
2.0007,1.8644,2.6491,0.47369,0.0
-0.23356,3.2405,-3.0669,-2.7784,1.0
2.1881,2.7356,1.3278,-0.1832,0.0
1.2279,4.0309,-4.6435,-3.9125,1.0
2.2034,5.9947,0.53009,0.84998,0.0
2.1943,4.5503,-4.976,-2.7254,1.0
1.04,-6.9321,8.2888,-1.2991,0.0
1.6032,-4.7863,8.5193,-2.1203,0.0
0.17346,7.8695,0.26876,-3.7883,0.0
3.2351,9.647,-3.2074,-2.5948,0.0
-2.1802,3.3791,-1.2256,-2.6621,1.0
5.7403,-0.44284,0.38015,1.3763,0.0
0.74521,3.6357,-4.4044,-4.1414,1.0
4.0215,-2.1914,2.4648,1.1409,0.0
-2.4198,-0.24418,0.70146,0.41809,1.0
0.9297,-3.7971,4.6429,-0.2957,0.0
-1.5228,-6.4789,5.7568,0.87325,1.0
-1.9389,1.5706,0.045979,-1.122,1.0
3.7321,-3.884,3.3577,-0.0060486,0.0
0.24394,1.4733,-1.4192,-0.58535,1.0
-0.37013,-5.554,4.7749,1.547,1.0
0.11032,1.9741,-3.3668,-0.65259,1.0
-0.49081,2.8452,-3.6436,-3.1004,1.0
-1.1667,-1.4237,2.9241,0.66119,1.0
-2.7264,3.9213,-0.49212,-3.6371,1.0
2.4196,6.4665,-0.75688,0.228,0.0
2.1526,-6.1665,8.0831,-0.34355,0.0
4.5707,7.2094,-3.2794,-1.4944,0.0
-1.7101,-8.7903,7.9735,-0.45475,1.0
2.6213,5.7919,0.065686,-1.5759,0.0
-1.5621,-2.2121,4.2591,0.27972,1.0
2.2526,9.9636,-3.1749,-2.9944,0.0
0.22432,-0.52147,-0.40386,1.2017,1.0
0.11592,3.2219,-3.4302,-2.8457,1.0
1.9476,-4.7738,8.527,-1.8668,0.0
-3.793,-12.7095,12.7957,-2.825,1.0
1.9429,6.3961,0.092248,0.58102,0.0
-2.2804,-0.30626,1.3347,1.3763,1.0
3.4642,10.6878,-3.4071,-4.109,0.0
4.6499,7.6336,-1.9427,-0.37458,0.0
-0.016103,9.7484,0.15394,-1.6134,0.0
4.0972,0.46972,1.6671,0.91593,0.0
-1.2667,2.8183,-2.426,-1.8862,1.0
0.31803,-0.99326,1.0947,0.88619,1.0
-4.0214,-12.8006,15.6199,-0.95647,1.0
4.3937,0.35798,2.0416,1.2004,0.0
